date,season,tm_home,tm_away,pts_home,pts_away,prob_home
2005-12-26,2005,GSW,DEN,112,118,0.5990800596718051
2005-12-26,2005,MIN,PHO,89,103,0.5697382574399427
2005-12-26,2005,NYK,BRK,101,109,0.36327734389833294
2005-12-26,2005,OKC,BOS,118,111,0.6349897540983607
2005-12-26,2005,ORL,MIL,108,93,0.5240193918025562
2005-12-26,2005,SAC,POR,92,105,0.7305317733738104
2005-12-26,2005,UTA,MEM,105,102,0.3795145550087581
2005-12-26,2005,WAS,LAL,94,91,0.6185623601278026
2005-12-27,2005,ATL,CHO,90,93,0.6554939057667819
2005-12-27,2005,BRK,CLE,96,91,0.5616080589497249
2005-12-27,2005,DEN,PHI,106,108,0.5990800596718051
2005-12-27,2005,DET,TOR,113,106,0.901453632898506
2005-12-27,2005,HOU,UTA,74,82,0.7184684684684686
2005-12-27,2005,LAC,SAC,93,110,0.8230347431471681
2005-12-27,2005,MIA,MIL,109,98,0.789141393542914
2005-12-27,2005,SAS,IND,99,86,0.789141393542914
2005-12-28,2005,CHO,CHI,93,80,0.36327734389833294
2005-12-28,2005,GSW,BOS,111,109,0.6932487904343705
2005-12-28,2005,LAL,MEM,99,100,0.5616080589497249
2005-12-28,2005,MIN,OKC,108,95,0.7184684684684686
2005-12-28,2005,NOP,HOU,92,90,0.5990800596718051
2005-12-28,2005,ORL,NYK,105,95,0.6554939057667819
2005-12-28,2005,POR,PHI,95,91,0.36327734389833294
2005-12-28,2005,TOR,ATL,108,102,0.5990800596718051
2005-12-28,2005,WAS,PHO,99,104,0.4179498460184778
2005-12-29,2005,DEN,OKC,105,112,0.7184684684684686
2005-12-29,2005,DET,MIA,106,101,0.6730461707697165
2005-12-29,2005,SAS,NOP,111,84,0.9208907674872173
2005-12-30,2005,BRK,ATL,99,91,0.8351245428894727
2005-12-30,2005,CHO,PHO,100,110,0.26698229308872284
2005-12-30,2005,DAL,GSW,109,111,0.789141393542914
2005-12-30,2005,IND,TOR,97,99,0.789141393542914
2005-12-30,2005,MIL,NYK,113,108,0.7505221629148294
2005-12-30,2005,ORL,MIN,107,87,0.45685279187817257
2005-12-30,2005,POR,MEM,90,93,0.32150863255594453
2005-12-30,2005,SAC,BOS,116,112,0.5230171935662784
2005-12-30,2005,WAS,MIA,113,128,0.4179498460184778
2005-12-31,2005,CHI,PHO,98,107,0.4179498460184778
2005-12-31,2005,CLE,DET,97,84,0.43762053107847504
2005-12-31,2005,DEN,SAS,88,98,0.32150863255594453
2005-12-31,2005,HOU,GSW,89,94,0.5697382574399427
2005-12-31,2005,LAC,BOS,92,111,0.7505221629148294
2005-12-31,2005,NOP,DAL,90,95,0.34414055424741896
2005-12-31,2005,OKC,MEM,96,100,0.5697382574399427
2005-12-31,2005,UTA,PHI,108,102,0.45685279187817257
2006-01-01,2005,LAL,UTA,94,98,0.5293662562052738
2006-01-01,2005,MIA,MIN,97,70,0.789141393542914
2006-01-01,2005,POR,LAC,94,100,0.45685279187817257
2006-01-02,2005,CHI,MIL,92,93,0.5697382574399427
2006-01-02,2005,DEN,BOS,120,110,0.6554939057667819
2006-01-02,2005,IND,OKC,115,96,0.6349897540983607
2006-01-02,2005,NOP,CHO,103,86,0.6730461707697165
2006-01-02,2005,NYK,PHO,140,133,0.325
2006-01-03,2005,ATL,TOR,97,108,0.6185623601278026
2006-01-03,2005,DAL,POR,95,81,0.8771811577922564
2006-01-03,2005,DET,ORL,108,99,0.8490646342280425
2006-01-03,2005,MEM,GSW,104,94,0.6730461707697165
2006-01-03,2005,UTA,LAL,90,80,0.6730461707697165
2006-01-03,2005,WAS,HOU,111,123,0.6730461707697165
2006-01-04,2005,BOS,CHO,109,106,0.7305317733738104
2006-01-04,2005,CHI,OKC,97,101,0.5697382574399427
